date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
2011-02-13,25,61,0,0,0,6.93,230,17.9,220,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-02-16,34,63,0,0,0,5.37,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-02-18,52,78.1,0,0,0,10.74,230,17.9,280,23.04,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2011-02-23,28.9,53.1,0,0,0,3.36,50,8.95,50,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-03-03,35.1,53.1,0,0,0,10.74,70,21.03,80,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-03-16,46.9,64,0.05,0,0,2.91,270,10.07,300,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-03-19,55.9,75,0,0,0,5.82,40,17.9,50,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-03-21,52,75,0,0,0,12.75,240,27.96,240,36.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-03-23,50,82.9,0.45,0,0,6.71,230,25.95,220,36.01,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-03-30,39.9,48,1.05,0,0,7.83,100,21.92,100,29.08,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-04-01,37.9,55,0,0,0,6.26,280,17.9,290,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-02,37,64.9,0,0,0,8.95,270,27.96,280,42.95,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-07,46,79,0,0,0,6.49,230,14.99,220,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-08,53.1,82,0.06,0,0,5.14,30,21.92,20,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-04-10,52,72,0,0,0,3.8,210,8.95,200,14.09,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-04-12,57,73,0,0,0,12.3,220,31.99,200,40.04,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-04-13,46.9,72,0,0,0,5.14,290,14.09,270,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-19,55.9,84.9,0,0,0,11.18,230,21.03,190,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-21,55,73,0.01,0,0,5.82,120,16.11,360,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-23,54,78.1,0.01,0,0,5.82,210,17,210,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-04-24,62.1,87.1,0,0,0,11.18,230,21.92,210,25.95,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-04-26,68,82.9,0,0,0,10.29,190,17.9,190,25.05,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-04-27,68,87.1,0.21,0,0,12.97,230,29.97,230,40.94,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2011-05-14,63,79,0.12,0,0,4.7,170,14.09,170,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-05-17,57.9,72,0.17,0,0,7.16,180,16.11,160,21.92,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-05-20,57,82,0,0,0,2.68,260,12.08,240,17,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-05-22,59,89.1,0,0,0,4.03,280,12.08,290,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-05-23,66,91,0.09,0,0,7.38,230,19.91,210,25.05,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-06-02,70,95,0,0,0,2.91,20,10.07,30,16.11,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2011-06-03,66,84.9,0,0,0,6.93,40,16.11,40,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-05,69.1,90,0,0,0,5.82,40,16.11,50,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-06,69.1,90,0,0,0,4.7,50,12.97,20,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-10,72,96.1,0,0,0,7.38,140,12.97,80,31.99,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-06-12,66.9,93.9,0.24,0,0,5.59,300,23.04,310,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-06-16,68,91,0,0,0,8.5,230,19.91,200,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-17,66.9,91.9,0,0,0,4.92,230,14.99,150,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-24,72,96.1,0.02,0,0,11.41,230,21.92,240,31.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-25,70,89.1,0,0,0,4.03,250,14.99,240,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-26,68,93.9,0,0,0,3.58,230,14.09,250,25.05,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-06-29,68,93,0.04,0,0,4.47,10,10.07,360,17,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-01,64.9,93,0,0,0,3.13,30,14.09,30,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-06,73,89.1,0.22,0,0,6.26,220,21.92,220,25.95,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2011-07-14,69.1,87.1,0,0,0,8.72,50,17,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-16,63,89.1,0,0,0,6.04,100,12.97,140,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-17,68,88,0,0,0,2.68,200,8.95,120,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-25,73.9,97,0.07,0,0,4.92,250,25.95,240,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2011-07-27,73,99,0,0,0,4.92,110,14.99,140,27.96,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-07-31,73,84.9,1.16,0,0,2.68,30,14.99,40,29.97,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2011-08-01,71.1,93.9,0,0,0,2.46,80,12.08,50,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-08-04,77,95,0,0,0,4.92,90,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-08-08,73,96.1,0,0,0,5.59,280,12.97,260,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-08-16,64,88,0,0,0,1.79,50,8.95,30,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-08-23,66,84,0,0,0,5.82,60,12.97,50,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-09-01,60.1,86,0,0,0,2.01,90,12.08,90,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-09-12,66,87.1,0,0,0,2.91,140,8.95,40,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-09-21,66.9,82.9,0.43,0,0,3.36,120,8.05,,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2011-09-24,66.9,78.1,0.03,0,0,3.8,90,8.05,,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-09-26,68,84.9,0,0,0,2.91,160,17.9,160,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-09-29,61,84,0,0,0,4.25,240,16.11,280,21.92,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-10-10,55.9,75,0,0,0,6.71,50,12.08,50,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-10-18,59,82.9,1.04,0,0,6.26,170,14.09,160,19.91,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-10-19,54,68,0.84,0,0,10.51,250,25.95,260,34.9,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-10-23,39.9,69.1,0,0,0,1.57,80,8.95,90,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-10-24,43,72,0,0,0,1.12,260,8.95,270,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-03,36,66.9,0.17,0,0,4.03,180,12.97,180,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-04,46.9,55,1.43,0,0,11.41,40,21.03,30,29.08,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2011-11-11,33.1,53.1,0,0,0,5.82,300,16.11,300,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-15,62.1,78.1,0,0,0,10.51,220,21.03,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-21,60.1,77,0,0,0,4.7,220,12.08,230,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-23,48.9,73.9,0.18,0,0,12.08,190,21.92,290,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-11-30,34,53.1,0,0,0,5.82,300,14.99,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-12-05,45,71.1,0,0,0,4.7,160,12.08,150,16.11,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-12-10,36,53.1,0,0,0,2.91,50,12.08,20,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-12-22,61,68,0.08,0,0,7.83,210,21.03,200,29.08,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2011-12-27,42.1,64,0.56,0,0,11.86,240,29.97,230,44.07,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-12-29,26.1,55.9,0,0,0,4.7,230,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2011-12-31,39.9,64.9,0,0,0,6.49,270,14.99,290,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-01,35.1,68,0.01,0,0,7.83,220,23.04,210,29.08,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-06,33.1,66,0,0,0,5.59,230,14.09,220,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-11,44.1,60.1,0.61,0,0,8.05,230,19.91,230,27.96,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2012-01-12,44.1,59,0,0,0,12.97,220,23.04,210,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-17,42.1,64.9,0.1,0,0,14.99,240,31.09,230,40.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-20,33.1,57,0.19,0,0,3.8,130,12.08,120,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2012-01-21,36,57.9,0.42,0,0,7.61,220,17.9,220,23.94,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2012-01-25,34,64,0,0,0,1.79,150,8.95,150,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-28,32,62.1,0,0,0,4.47,340,14.99,330,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-29,32,53.1,0,0,0,5.59,230,16.11,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-01-31,36,68,0,0,0,10.07,230,17,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-01,46.9,70,0,0,0,7.83,230,19.91,240,25.05,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2012-02-07,32,57,0,0,0,1.12,40,10.07,50,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-08,28.9,51.1,0,0,0,2.01,350,8.05,330,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-14,39,60.1,0,0,0,9.17,230,23.04,230,27.96,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-15,41,64,0,0,0,3.36,50,12.08,40,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-17,42.1,63,0,0,0,2.46,280,8.95,10,16.11,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-18,39.9,64.9,0,0,0,2.46,220,14.99,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-24,50,78.1,0.09,0,0,17.45,230,36.01,220,46.08,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-02-28,41,66,0,0,0,4.25,50,12.97,50,17,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-03-04,34,54,0.17,0,0,5.37,300,19.91,260,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-03-06,27,54,0,0,0,4.03,200,10.07,110,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-03-08,48,75,0,0,0,10.07,220,23.04,210,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-03-13,57,78.1,0.02,0,0,10.51,230,17,230,23.04,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-03-21,60.1,75,0.04,0,0,3.13,120,12.08,120,14.99,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2012-03-25,55.9,68,0.03,0,0,3.8,330,12.97,20,17.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-04-04,57,84.9,0.62,0,0,4.25,240,16.11,350,25.95,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-04-08,37.9,75.9,0,0,0,3.58,280,17,260,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-04-17,60.1,86,0,0,0,6.93,60,17,80,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-04-28,54,62.1,0,0,0,6.04,80,14.99,50,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-04-29,55,77,0,0,0,3.36,30,12.08,30,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-07,57.9,78.1,0,0,0,5.59,140,12.97,130,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-08,61,80.1,0,0,0,7.83,200,16.11,170,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-10,51.1,72,0,0,0,3.8,290,14.09,290,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-13,60.1,75,0.15,0,0,5.59,190,14.09,180,21.92,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-14,63,75,0.49,0,0,6.26,180,16.11,180,23.04,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-05-20,52,82,0,0,0,6.49,30,21.03,40,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-05-21,66,82,0,0,0,1.34,50,8.95,150,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-06-10,64.9,89.1,0,0,0,6.26,200,14.09,200,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-06-12,68,82.9,0.43,0,0,7.61,50,19.91,50,25.05,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2012-06-16,53.1,80.1,0,0,0,6.26,40,17,40,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-06-25,72,93,0,0,0,6.49,40,17,40,21.03,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-07-01,75,102.9,0,0,0,4.92,20,23.94,30,36.91,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2012-07-06,71.1,100,0,0,0,3.8,20,17.9,10,27.96,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-07-09,73,96.1,0.23,0,0,3.36,180,17,80,23.04,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-07-11,68,80.1,0.45,0,0,4.03,90,21.92,90,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-07-21,71.1,93,1.09,0,0,7.38,200,19.91,190,23.94,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-07-25,70,90,0,0,0,4.03,240,12.08,240,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-07-27,73.9,99,0.14,0,0,6.93,20,19.91,300,31.09,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-07-29,66.9,91.9,0,0,0,2.01,100,8.95,130,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-08-02,72,93,0.05,0,0,5.82,180,23.94,170,29.08,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-08-06,73.9,93,0.49,0,0,6.26,230,21.92,230,25.95,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-08-10,72,87.1,0.13,0,0,8.95,220,21.92,240,27.96,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2012-08-14,66,91,0,0,0,5.59,230,16.11,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-08-24,68,77,0.02,0,0,4.7,80,12.97,90,17,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-08-26,64.9,84,0,0,0,3.13,50,10.07,60,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-08-28,73,87.1,0,0,0,7.61,210,17,220,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-08-30,68,89.1,0,0,0,4.47,170,12.97,180,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-09-02,72,88,1.85,0,0,3.58,340,17,340,23.04,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2012-09-14,63,80.1,0,0,0,1.57,50,8.95,50,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-09-25,48,77,0,0,0,3.13,210,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-10-02,66.9,88,0.12,0,0,7.61,210,12.97,210,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2012-10-07,50,64.9,0.23,0,0,6.71,40,17,50,23.04,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2015-04-08,62.1,84,0,0,0,5.82,40,29.97,30,38.03,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2015-04-20,63,78.1,0.28,0,0,11.86,180,21.92,170,29.08,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-04-26,45,54,0.02,0,0,5.82,50,12.97,40,16.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-04-28,39,69.1,0,0,0,2.68,40,12.08,40,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-05-03,46.9,79,0,0,0,2.68,200,12.08,210,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-05-23,48,80.1,0,0,0,2.91,50,14.99,80,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-05-27,69.1,87.1,0.3,0,0,6.71,180,17,210,21.92,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-05-31,69.1,89.1,0,0,0,6.93,170,12.97,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-06-09,66.9,89.1,0.31,0,0,7.61,230,18.12,260,23.94,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-06-13,73.9,95,0,0,0,4.92,40,10.07,310,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-06-22,70,96.1,0,0,0,2.24,210,10.07,210,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-06-28,64,84,0,0,0,5.82,230,16.11,240,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-07-16,72,86,0,0,0,6.71,40,16.11,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-07-25,64,88,0,0,0,2.24,130,10.07,150,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-07-26,66,89.1,0,0,0,3.13,170,8.95,130,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-07-27,72,90,0,0,0,4.25,130,10.07,160,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-08-02,64.9,90,0,0,0,3.58,50,12.08,40,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-08-06,71.1,95,1.68,0,0,2.68,230,25.95,220,31.09,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-08-19,72,89.1,0.19,0,0,6.49,190,21.92,180,27.96,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-08-21,70,88,0,0,0,5.59,40,16.11,50,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-08-23,61,87.1,0,0,0,1.34,170,8.95,210,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-09,71.1,91,0.21,0,0,6.04,230,25.95,240,31.99,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2015-09-12,68,78.1,0.34,0,0,6.26,260,18.12,270,27.96,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-13,55,75.9,0,0,0,4.25,310,14.09,280,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-17,60.1,84,0,0,0,1.57,90,8.95,130,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-20,62.1,86,0,0,0,4.7,30,12.97,60,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-24,60.1,75.9,0.2,0,0,9.17,50,18.12,60,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-09-27,64,77,0.03,0,0,10.96,40,18.12,40,25.95,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2015-10-01,57.9,66,0.34,0,0,10.74,50,19.91,50,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-10-03,53.1,68,1.23,0,0,12.08,50,19.91,40,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-10-17,39,66.9,0,0,0,3.13,350,12.08,340,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-10-21,37.9,75.9,0,0,0,1.34,230,10.07,240,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-10-25,55.9,77,0,0,0,3.8,230,12.97,230,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-07,59,72,0.54,0,0,5.37,230,17,340,23.04,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-10,48,69.1,0.22,0,0,1.79,290,10.07,320,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-12,45,77,0,0,0,7.61,230,23.94,230,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-13,44.1,66,0,0,0,5.82,300,16.11,270,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-15,31.1,64,0,0,0,0.67,210,6.93,220,8.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-17,37.9,66.9,0,0,0,4.25,90,14.09,90,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-18,53.1,72,0,0,0,9.4,130,19.91,140,25.05,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-11-29,48.9,73.9,0.13,0,0,2.01,80,12.08,90,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-03,39,57.9,0,0,0,4.25,310,12.97,340,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-04,33.1,54,0,0,0,2.01,30,10.07,30,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-09,42.1,64,0,0,0,4.7,230,16.11,230,21.03,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-10,44.1,66.9,0,0,0,3.58,220,12.08,220,14.99,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-18,37,59,0.16,0,0,6.26,300,16.11,310,29.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-24,66,77,0.04,0,0,12.75,220,23.04,200,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-25,64.9,73.9,0,0,0,8.05,230,17,230,21.03,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2015-12-26,63,73.9,0.01,0,0,2.91,190,8.95,210,12.08,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2016-01-03,31.1,53.1,0,0,0,3.36,260,10.07,260,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2016-01-10,37,63,0.05,0,0,11.86,240,25.05,240,36.91,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2016-01-13,27.1,43,0,0,0,3.36,240,12.08,230,18.12,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
